Sample,Location
DJ4722,Autauga
DJ1922,Autauga
DJ4622,Autauga
DJ2005,Autauga
DJ0720,Autauga
26564,Autauga
E306,Baldwin
E093,Baldwin
E333,Baldwin
5-592,Baldwin
5-189,Barbour
5864512,Blount
5727354,Blount
26375,Blount
26031,Blount
5848332,Calhoun
5847060,Calhoun
5848211,Calhoun
5899486,Calhoun
5906101,Calhoun
25115,Calhoun
24977,Calhoun
24593,Cherokee
JR1936,Cherokee
5-039,Cherokee
25968,Cherokee
26494,Cherokee
24788,Cherokee
26062,Cherokee
25445,Chilton
25592,Chilton
26548,Clay
24419,Cleburne 
E941,Coffee
E675,Coffee
E706,Coffee
25515,Coffee
E919,Coffee
5758766,Colbert
26396,Cullman
3525,Cullman
5829191,Cullman
E611,Dale
E474,Dale
E931,Dale
E1221,Dallas
5861322,DeKalb
BL2009,DeKalb
BL2012,DeKalb
BL206,DeKalb
BL1904,DeKalb
25666,DeKalb
25989,DeKalb
24605,DeKalb
DJ0521,Elmore
25636,Elmore
26114,Elmore
24646,Elmore
5854681,Etowah
5767737,Etowah
5786437,Etowah
5406022,Etowah
5774538,Etowah
26407,Etowah
5774538-B,Etowah
JR18153,Etowah
JR18154,Etowah
JR18166,Etowah
JR18169,Etowah
JR18178,Etowah
JR18176,Etowah
JR18179,Etowah
JR18215,Etowah
JR18216,Etowah
JR18219,Etowah
JR18220,Etowah
JR18232,Etowah
JR1950,Etowah
JR1951,Etowah
JR1953,Etowah
JR1956,Etowah
JR1978,Etowah
JR1948,Etowah
JR18259,Etowah
JR1949,Etowah
26170,Etowah
25786,Etowah
26575,Etowah
JM2201,Fayette
AT23002,Fayette
AT23018,Fayette
AT231024,Fayette
AT2331,Fayette
JM2317,Fayette
25113,Fayette
25108,Fayette
E987,Geneva
E158,Houston
E596,Houston
E284,Houston
E595,Houston
E478,Houston
E650,Houston
5307351,Houston
25491,Jackson
25698,Jackson
E4509,Jackson
5871597,Jefferson
5755567,Jefferson
AL18099,Jefferson
JR2005,Jefferson
JR18147,Jefferson
JR18146,Jefferson
JR18183,Jefferson
JR18184,Jefferson
JR1945,Jefferson
JR1958,Jefferson
JR1981,Jefferson
JR1984,Jefferson
JR1998,Jefferson
JR1999,Jefferson
JR18265,Jefferson
JR18266,Jefferson
JR1946,Jefferson
JR18269,Jefferson
JR1905,Jefferson
JR18271,Jefferson
26573,Jefferson
24559,Jefferson
24591,Jefferson
24630,Jefferson
25245,Lauderdale
5713652,Lauderdale
5884375,Lauderdale
26237,Lawrence
5884339,Lawrence
25913,Lee
ALCJ1801,Lee
25893,Lee
25153,Lee
25936,Lee
25400,Lee
26203,Lee
25273,Lee
25390,Lee
24348,Macon
25834,Madison
5896677,Madison
5311370,Marengo
5710569,Marshall
26510,Marshall
25894,Marshall
25202,Marshall
25643,Marshall
3625,Marshall
25976,Marshall
25319,Marshall
JR18185,Marshall
JR1971,Marshall
JR1989,Marshall
JR1990,Marshall
JR1991,Marshall
JR18260,Marshall
JR1920,Marshall
JR1921,Marshall
JR1919,Marshall
E095,Milton
5841697,Mobile
5280430,Mobile
SG1909,Mobile
SG1910,Mobile
SG1925,Mobile
E535,Mobile
E654,Mobile
E409,Mobile
E629,Mobile
E462,Mobile
E395,Mobile
26344,Mobile
5248710,Monroe
25190,Montgomery
25171,Montgomery
DJ1022,Montgomery 
DJ1322,Montgomery 
DJ2022,Montgomery 
DJ2122,Montgomery 
DJ3022,Montgomery 
DJ0122,Montgomery
DJ0422,Montgomery
DJ0522,Montgomery
DJ0622,Montgomery
5861324,Morgan
25899,Morgan
E363,Pike
J1218150,Shelby
24785,Shelby
26412,Shelby
24837,Shelby
26471,Shelby
25130,Shelby
26340,Shelby
25577,Shelby
24599,Shelby
5872979,StClair
5774536,StClair
5813167,StClair
5893715,StClair
JR1935,StClair
JR1977,StClair
26044,StClair
25920,StClair
5-297,StClair
26353,StClair
26500,StClair
26578,StClair
26579,StClair
E328,StClair
5745484,Talladega
5764163,Talladega
5896682,Talladega
25499,Talladega
25134,Talladega
26497,Talladega
26019,Talladega
26463,Talladega
26537,Talladega
25079,Talladega
25752,Talladega
JM2303,Tuscaloosa
JM2301,Tuscaloosa
LV0003,Tuscaloosa
LV005,Tuscaloosa
LV1901,Tuscaloosa
JW2009,Tuscaloosa
JW2101,Tuscaloosa
26140,Tuscaloosa
24831,Tuscaloosa
JW011,Tuscaloosa
5715910,Unknown
5722089,Unknown