sampleID,county,lat,lon
DJ4722,Autauga,32.532237,-86.64644
DJ1922,Autauga,32.532237,-86.64644
DJ4622,Autauga,32.532237,-86.64644
DJ2005,Autauga,32.532237,-86.64644
DJ0720,Autauga,32.532237,-86.64644
26564,Autauga,32.532237,-86.64644
E095,Autauga,32.532237,-86.64644
E306,Baldwin,30.659218,-87.746067
E093,Baldwin,30.659218,-87.746067
E333,Baldwin,30.659218,-87.746067
5-592,Baldwin,30.659218,-87.746067
5-189,Barbour,31.870253,-85.405103
5864512,Blount,33.977358,-86.56644
5727354,Blount,33.977358,-86.56644
26375,Blount,33.977358,-86.56644
26031,Blount,33.977358,-86.56644
5848332,Calhoun,33.770516,-85.827909
5847060,Calhoun,33.770516,-85.827909
5848211,Calhoun,33.770516,-85.827909
5899486,Calhoun,33.770516,-85.827909
5906101,Calhoun,33.770516,-85.827909
25115,Calhoun,33.770516,-85.827909
24977,Calhoun,33.770516,-85.827909
24593,Cherokee,34.069515,-85.654242
JR1936,Cherokee,34.069515,-85.654242
5-039,Cherokee,34.069515,-85.654242
25968,Cherokee,34.069515,-85.654242
26494,Cherokee,34.069515,-85.654242
24788,Cherokee,34.069515,-85.654242
26062,Cherokee,34.069515,-85.654242
25445,Chilton,32.854051,-86.726607
25592,Chilton,32.854051,-86.726607
26548,Clay,33.2704,-85.863525
24419,Cleburne,33.671964,-85.516126
E941,Coffee,31.402258,-85.989602
E675,Coffee,31.402258,-85.989602
E706,Coffee,31.402258,-85.989602
25515,Coffee,31.402258,-85.989602
E919,Coffee,31.402258,-85.989602
5758766,Colbert,34.703112,-87.801457
26396,Cullman,34.131923,-86.869267
3525,Cullman,34.131923,-86.869267
5829191,Cullman,34.131923,-86.869267
E611,Dale,31.430654,-85.609476
E474,Dale,31.430654,-85.609476
E931,Dale,31.430654,-85.609476
E1221,Dallas,32.333526,-87.11436
5861322,DeKalb,34.460915,-85.804021
BL2009,DeKalb,34.460915,-85.804021
BL2012,DeKalb,34.460915,-85.804021
BL206,DeKalb,34.460915,-85.804021
BL1904,DeKalb,34.460915,-85.804021
25666,DeKalb,34.460915,-85.804021
25989,DeKalb,34.460915,-85.804021
24605,DeKalb,34.460915,-85.804021
DJ0521,Elmore,32.597229,-86.142735
25636,Elmore,32.597229,-86.142735
26114,Elmore,32.597229,-86.142735
24646,Elmore,32.597229,-86.142735
5854681,Etowah,34.047641,-86.034263
5767737,Etowah,34.047641,-86.034263
5786437,Etowah,34.047641,-86.034263
5406022,Etowah,34.047641,-86.034263
5774538,Etowah,34.047641,-86.034263
26407,Etowah,34.047641,-86.034263
5774538-B,Etowah,34.047641,-86.034263
JR18153,Etowah,34.047641,-86.034263
JR18154,Etowah,34.047641,-86.034263
JR18166,Etowah,34.047641,-86.034263
JR18169,Etowah,34.047641,-86.034263
JR18178,Etowah,34.047641,-86.034263
JR18176,Etowah,34.047641,-86.034263
JR18179,Etowah,34.047641,-86.034263
JR18215,Etowah,34.047641,-86.034263
JR18216,Etowah,34.047641,-86.034263
JR18219,Etowah,34.047641,-86.034263
JR18220,Etowah,34.047641,-86.034263
JR18232,Etowah,34.047641,-86.034263
JR1950,Etowah,34.047641,-86.034263
JR1951,Etowah,34.047641,-86.034263
JR1953,Etowah,34.047641,-86.034263
JR1956,Etowah,34.047641,-86.034263
JR1978,Etowah,34.047641,-86.034263
JR1948,Etowah,34.047641,-86.034263
JR18259,Etowah,34.047641,-86.034263
JR1949,Etowah,34.047641,-86.034263
26170,Etowah,34.047641,-86.034263
25786,Etowah,34.047641,-86.034263
26575,Etowah,34.047641,-86.034263
JM2201,Fayette,33.716157,-87.764292
AT23002,Fayette,33.716157,-87.764292
AT23018,Fayette,33.716157,-87.764292
AT231024,Fayette,33.716157,-87.764292
AT2331,Fayette,33.716157,-87.764292
JM2317,Fayette,33.716157,-87.764292
25113,Fayette,33.716157,-87.764292
25108,Fayette,33.716157,-87.764292
E987,Geneva,31.092382,-85.821022
E158,Houston,31.158183,-85.296411
E596,Houston,31.158183,-85.296411
E284,Houston,31.158183,-85.296411
E595,Houston,31.158183,-85.296411
E478,Houston,31.158183,-85.296411
E650,Houston,31.158183,-85.296411
5307351,Houston,31.158183,-85.296411
25491,Jackson,34.764114,-85.980056
25698,Jackson,34.764114,-85.980056
E4509,Jackson,34.764114,-85.980056
5871597,Jefferson,33.553444,-86.896536
5755567,Jefferson,33.553444,-86.896536
AL18099,Jefferson,33.553444,-86.896536
JR2005,Jefferson,33.553444,-86.896536
JR18147,Jefferson,33.553444,-86.896536
JR18146,Jefferson,33.553444,-86.896536
JR18183,Jefferson,33.553444,-86.896536
JR18184,Jefferson,33.553444,-86.896536
JR1945,Jefferson,33.553444,-86.896536
JR1958,Jefferson,33.553444,-86.896536
JR1981,Jefferson,33.553444,-86.896536
JR1984,Jefferson,33.553444,-86.896536
JR1998,Jefferson,33.553444,-86.896536
JR1999,Jefferson,33.553444,-86.896536
JR18265,Jefferson,33.553444,-86.896536
JR18266,Jefferson,33.553444,-86.896536
JR1946,Jefferson,33.553444,-86.896536
JR18269,Jefferson,33.553444,-86.896536
JR1905,Jefferson,33.553444,-86.896536
JR18271,Jefferson,33.553444,-86.896536
26573,Jefferson,33.553444,-86.896536
24559,Jefferson,33.553444,-86.896536
24591,Jefferson,33.553444,-86.896536
24630,Jefferson,33.553444,-86.896536
25245,Lauderdale,34.904168,-87.651108
5713652,Lauderdale,34.904168,-87.651108
5884375,Lauderdale,34.904168,-87.651108
26237,Lawrence,34.529776,-87.321865
5884339,Lawrence,34.529776,-87.321865
25913,Lee,32.604064,-85.353048
ALCJ1801,Lee,32.604064,-85.353048
25893,Lee,32.604064,-85.353048
25153,Lee,32.604064,-85.353048
25936,Lee,32.604064,-85.353048
25400,Lee,32.604064,-85.353048
26203,Lee,32.604064,-85.353048
25273,Lee,32.604064,-85.353048
25390,Lee,32.604064,-85.353048
24348,Macon,32.387027,-85.692887
25834,Madison,34.764238,-86.55108
5896677,Madison,34.764238,-86.55108
5311370,Marengo,32.247591,-87.791091
5710569,Marshall,34.309564,-86.321668
26510,Marshall,34.309564,-86.321668
25894,Marshall,34.309564,-86.321668
25202,Marshall,34.309564,-86.321668
25643,Marshall,34.309564,-86.321668
3625,Marshall,34.309564,-86.321668
25976,Marshall,34.309564,-86.321668
25319,Marshall,34.309564,-86.321668
JR18185,Marshall,34.309564,-86.321668
JR1971,Marshall,34.309564,-86.321668
JR1989,Marshall,34.309564,-86.321668
JR1990,Marshall,34.309564,-86.321668
JR1991,Marshall,34.309564,-86.321668
JR18260,Marshall,34.309564,-86.321668
JR1920,Marshall,34.309564,-86.321668
JR1921,Marshall,34.309564,-86.321668
JR1919,Marshall,34.309564,-86.321668
5841697,Mobile,30.684572,-88.196568
5280430,Mobile,30.684572,-88.196568
SG1909,Mobile,30.684572,-88.196568
SG1910,Mobile,30.684572,-88.196568
SG1925,Mobile,30.684572,-88.196568
E535,Mobile,30.684572,-88.196568
E654,Mobile,30.684572,-88.196568
E409,Mobile,30.684572,-88.196568
E629,Mobile,30.684572,-88.196568
E462,Mobile,30.684572,-88.196568
E395,Mobile,30.684572,-88.196568
26344,Mobile,30.684572,-88.196568
5248710,Monroe,31.580353,-87.383342
25190,Montgomery,32.202881,-86.204461
25171,Montgomery,32.202881,-86.204461
DJ1022,Montgomery,32.202881,-86.204461
DJ1322,Montgomery,32.202881,-86.204461
DJ2022,Montgomery,32.202881,-86.204461
DJ2122,Montgomery,32.202881,-86.204461
DJ3022,Montgomery,32.202881,-86.204461
DJ0122,Montgomery,32.202881,-86.204461
DJ0422,Montgomery,32.202881,-86.204461
DJ0522,Montgomery,32.202881,-86.204461
DJ0622,Montgomery,32.202881,-86.204461
5861324,Morgan,34.454484,-86.846402
25899,Morgan,34.454484,-86.846402
E363,Pike,31.798653,-85.941608
J1218150,Shelby,33.266893,-86.661007
24785,Shelby,33.266893,-86.661007
26412,Shelby,33.266893,-86.661007
24837,Shelby,33.266893,-86.661007
26471,Shelby,33.266893,-86.661007
25130,Shelby,33.266893,-86.661007
26340,Shelby,33.266893,-86.661007
25577,Shelby,33.266893,-86.661007
24599,Shelby,33.266893,-86.661007
5872979,StClair,33.719491,-86.311327
5774536,StClair,33.719491,-86.311327
5813167,StClair,33.719491,-86.311327
5893715,StClair,33.719491,-86.311327
JR1935,StClair,33.719491,-86.311327
JR1977,StClair,33.719491,-86.311327
26044,StClair,33.719491,-86.311327
25920,StClair,33.719491,-86.311327
5-297,StClair,33.719491,-86.311327
26353,StClair,33.719491,-86.311327
26500,StClair,33.719491,-86.311327
26578,StClair,33.719491,-86.311327
26579,StClair,33.719491,-86.311327
E328,StClair,33.719491,-86.311327
5745484,Talladega,33.369314,-86.17593
5764163,Talladega,33.369314,-86.17593
5896682,Talladega,33.369314,-86.17593
25499,Talladega,33.369314,-86.17593
25134,Talladega,33.369314,-86.17593
26497,Talladega,33.369314,-86.17593
26019,Talladega,33.369314,-86.17593
26463,Talladega,33.369314,-86.17593
26537,Talladega,33.369314,-86.17593
25079,Talladega,33.369314,-86.17593
25752,Talladega,33.369314,-86.17593
JM2303,Tuscaloosa,33.29022,-87.522783
JM2301,Tuscaloosa,33.29022,-87.522783
LV0003,Tuscaloosa,33.29022,-87.522783
LV005,Tuscaloosa,33.29022,-87.522783
LV1901,Tuscaloosa,33.29022,-87.522783
JW2009,Tuscaloosa,33.29022,-87.522783
JW2101,Tuscaloosa,33.29022,-87.522783
26140,Tuscaloosa,33.29022,-87.522783
24831,Tuscaloosa,33.29022,-87.522783
JW011,Tuscaloosa,33.29022,-87.522783